FID;Shape *;AU_Unidad;Tramo;T1;T2;T3;T4;T5;T6;T7;T8;T9;sector;km2;Franja;F1;F2;F3;F4;nearX;nearY;COUNT_AVEN;LINK_2010;RC_DistAU;RCD_AUInv;RC_DistAV;RC_DistSb;RC_DistEV;RC_DistAc;RCD_ACInv;RC_PCol_H;LINK__2011;DENS10;POB10;VARON;MUJER;VIV10;HOG10;NBI10;NBI_H10;NO_VIV10;Z_NBI10;Z_BARON;Z_MUJER;Z_NBIH10;Z_NEDU10;Z_DESO10;Z_OCUP10;Z_INMI10;Z_NTEN10;NO_EDU10;DESOC10;OCUP10;INMIG10;NO_TEN10;HA_RC;MENOR17;PEA65;ADULTMAY;Z_MENOR17;Z_PEA65;Z_ADULTMAY;VIV1HOG;VIVMAS1HOG;NBI10_HA;INMIG10_HA;NO_TEN10_HA
784;Point;785;5;0;0;0;0;1;0;0;0;0;NORTE;0,006012;2;0;1;0;0;104162,8279;100200,9286;0;20052107;6,9559;0,143762849;178,434402;317,390099;646,151918;6,9559;0,143762849;1;20052107;104,052098;719;366;353;307;257;25,0061;5,9881;17,9902;0,034779;0,50904;0,49096;0,0233;0,037681;0,0431;0,6612;0,0918;0,1673;27,092754;30,9889;475,4028;66,0042;42,9961;6,901598;158;449;112;0,21975;0,624478;0,155772;231;10;3,623233344;9,56361121;6,229876037
1337;Point;1387;5;0;0;0;0;1;0;0;0;0;SUR;0,006911;2;0;1;0;0;104057,8578;100125,4654;0;20052107;4,058496;0,246396695;247,444631;444,971315;772,979826;4,058496;0,246396695;0;20052107;104,052098;719;366;353;307;257;25,0061;5,9881;17,9902;0,034779;0,50904;0,49096;0,0233;0,037681;0,0431;0,6612;0,0918;0,1673;27,092754;30,9889;475,4028;66,0042;42,9961;6,901598;158;449;112;0,21975;0,624478;0,155772;231;10;3,623233344;9,56361121;6,229876037
1338;Point;1388;5;0;0;0;0;1;0;0;0;0;SUR;0,004905;2;0;1;0;0;104173,555;100146,7846;0;20052107;2,607946;0,383443522;169,847941;352,343337;680,612398;2,607946;0,383443522;1;20052107;104,052098;719;366;353;307;257;25,0061;5,9881;17,9902;0,034779;0,50904;0,49096;0,0233;0,037681;0,0431;0,6612;0,0918;0,1673;27,092754;30,9889;475,4028;66,0042;42,9961;6,901598;158;449;112;0,21975;0,624478;0,155772;231;10;3,623233344;9,56361121;6,229876037
103;Point;104;9;0;0;0;0;0;0;0;0;1;SUR;0,015816;1;1;0;0;0;101743,6455;98586,98656;3;20071208;702,680288;0,001423122;62,757825;830,975612;155,713517;978,117108;0,001022372;1;20071208;99,664992;595;303;292;241;213;4,0044;3,0033;0,9881;0,00673;0,509244;0,490756;0,0141;0,034783;0,0659;0,6533;0,3479;0,0423;20,695653;39,2105;388,7135;207,0005;9,0099;5,969235;127;389;79;0,213445;0,653782;0,132773;189;11;0,670839731;34,67789424;1,509389394
131;Point;132;9;0;0;0;0;0;0;0;0;1;SUR;0,014845;1;1;0;0;0;101653,973;98672,78968;1;20071208;589,419458;0,001696585;59,954237;707,387444;274,818729;855,761394;0,00116855;1;20071208;99,664992;595;303;292;241;213;4,0044;3,0033;0,9881;0,00673;0,509244;0,490756;0,0141;0,034783;0,0659;0,6533;0,3479;0,0423;20,695653;39,2105;388,7135;207,0005;9,0099;5,969235;127;389;79;0,213445;0,653782;0,132773;189;11;0,670839731;34,67789424;1,509389394
153;Point;154;9;0;0;0;0;0;0;0;0;1;SUR;0,014346;1;1;0;0;0;101565,3364;98755,46033;1;20071208;483,968215;0,002066251;60,213657;587,100902;392,602873;736,524836;0,001357727;1;20071208;99,664992;595;303;292;241;213;4,0044;3,0033;0,9881;0,00673;0,509244;0,490756;0,0141;0,034783;0,0659;0,6533;0,3479;0,0423;20,695653;39,2105;388,7135;207,0005;9,0099;5,969235;127;389;79;0,213445;0,653782;0,132773;189;11;0,670839731;34,67789424;1,509389394
177;Point;178;9;0;0;0;0;0;0;0;0;1;SUR;0,01457;1;1;0;0;0;101476,5476;98837,03906;1;20071208;381,528244;0,002621038;59,90463;468,067649;376,959592;618,464054;0,001616909;1;20071208;99,664992;595;303;292;241;213;4,0044;3,0033;0,9881;0,00673;0,509244;0,490756;0,0141;0,034783;0,0659;0,6533;0,3479;0,0423;20,695653;39,2105;388,7135;207,0005;9,0099;5,969235;127;389;79;0,213445;0,653782;0,132773;189;11;0,670839731;34,67789424;1,509389394
1202;Point;1252;3;0;0;1;0;0;0;0;0;0;NORTE;0,011344;4;0;0;0;1;106231,0672;101517,5446;0;20032006;927,69697;0,001077938;164,148915;715,059707;691,551197;927,69697;0,001077938;1;20032006;429,20354;485;247;238;236;189;41,9958;9,9981;35,99;0,086589;0,509278;0,490722;0,0529;0,053419;0,0556;0,7335;0,1464;0,1905;25,908118;26,966;355,7475;71,004;36,0045;1,133633;112;325;48;0,230928;0,670103;0,098969;181;4;37,04532243;62,63402706;31,76027868
1283;Point;1333;2;0;1;0;0;0;0;0;0;0;NORTE;0,017764;4;0;0;0;1;107398,1532;102101,4364;0;20011601;929,933177;0,001075346;111,896;138,314195;73,486847;929,933177;0,001075346;3;20011601;149,030471;538;274;264;339;189;61,0092;5,9913;56,9859;0,1134;0,509294;0,490706;0,0317;0,011278;0,0346;0,7629;0,3439;0,2063;6,067672;18,6148;410,4402;185,0182;38,9907;3,608508;42;418;78;0,078067;0,776952;0,144981;183;3;16,90704302;51,2727698;10,80521368
1286;Point;1336;2;0;1;0;0;0;0;0;0;0;NORTE;0,008876;4;0;0;0;1;107395,1318;102197,9605;1;20011601;1025,299133;0,000975325;32,182424;54,528732;72,746499;1025,299133;0,000975325;5;20011601;149,030471;538;274;264;339;189;61,0092;5,9913;56,9859;0,1134;0,509294;0,490706;0,0317;0,011278;0,0346;0,7629;0,3439;0,2063;6,067672;18,6148;410,4402;185,0182;38,9907;3,608508;42;418;78;0,078067;0,776952;0,144981;183;3;16,90704302;51,2727698;10,80521368
